in_packet_ratio,in_byte_ratio,size_mean,size_std,size_min,size_max,iat_mean,iat_std,iat_max,tcp_ratio,udp_ratio,category
0.5924276169265034,0.686966842482096,636.13,647.86,54,1510,0.021572,0.089877,1.005011,0.9565701559020044,0.0434298440979955,browsing
0.5374149659863946,0.5235591034910688,515.28,609.78,54,1490,0.04282,0.138227,1.362673,0.9863945578231292,0.0136054421768707,browsing
0.5431235431235432,0.587666066089849,470.93,586.6,54,1490,0.045087,0.147886,1.362673,0.9766899766899768,0.0233100233100233,browsing
0.5260115606936416,0.5889808274470232,286.42,440.17,54,1490,0.110453,0.237006,1.362673,0.9132947976878611,0.0867052023121387,browsing
0.525974025974026,0.6228229559051629,293.05,439.23,54,1490,0.1184,0.254919,1.305205,0.9025974025974026,0.0974025974025974,browsing
0.5121951219512195,0.5489868556620563,312.48,463.67,54,1490,0.088416,0.251289,1.550324,0.9365853658536586,0.0634146341463414,browsing
0.5608695652173913,0.7654567726129843,472.07,584.08,54,1514,0.086171,0.319291,3.388124,0.9434782608695652,0.0565217391304347,browsing
0.562992125984252,0.7436251314405888,479.24,581.12,54,1514,0.073748,0.307216,3.388124,0.9763779527559056,0.0236220472440944,browsing
0.5827205882352942,0.8234350727353916,584.56,602.8,54,1514,0.036424,0.220453,3.388124,0.8308823529411765,0.1691176470588235,browsing
0.6353741496598639,0.8988491631803294,689.12,619.81,54,1514,0.023506,0.135158,2.021325,0.8421768707482993,0.1578231292517006,browsing
0.6363636363636364,0.907129680870688,679.75,612.62,54,1514,0.0312,0.179178,2.66824,0.8244514106583072,0.1755485893416928,browsing
0.634023503077784,0.8785430728838498,611.92,577.43,54,1514,0.010603,0.086575,2.66824,0.2949076664801343,0.7050923335198657,browsing
0.6426718547341116,0.8815359079052937,598.94,570.35,54,1514,0.012826,0.099481,2.66824,0.2127107652399481,0.7872892347600519,browsing
0.6259370314842578,0.8505009334291829,543.29,545.78,54,1514,0.013199,0.084115,1.524468,0.0779610194902548,0.9220389805097452,browsing
0.636969696969697,0.8535061068273286,528.42,537.54,54,1514,0.012032,0.078539,1.524468,0.0624242424242424,0.9375757575757576,browsing
0.6334459459459459,0.8866535180522179,588.1,554.03,54,1466,0.011198,0.078316,1.524468,0.0574324324324324,0.9425675675675677,browsing
0.6253799392097265,0.9011179700805748,677.72,596.44,54,1494,0.00494,0.040874,1.418372,0.2193515704154002,0.7806484295845998,browsing
0.6006813020439061,0.8904444038957458,640.97,586.54,54,1514,0.003671,0.024149,0.847177,0.1763815291445874,0.8236184708554126,browsing
0.596169193934557,0.8918923886267132,651.35,590.21,54,1514,0.003947,0.032647,1.421066,0.1937350359138068,0.8062649640861931,browsing
0.5844017094017094,0.8897530140805057,646.83,597.95,54,1514,0.005329,0.042444,1.421066,0.2596153846153846,0.7403846153846154,browsing
0.5540240106714095,0.8654291755730464,579.33,594.69,54,1514,0.008432,0.057701,1.421066,0.3152512227656736,0.6847487772343264,browsing
0.5916289592760181,0.8913692109306409,659.69,663.71,54,1514,0.02189,0.117128,1.597794,0.7375565610859729,0.2624434389140271,browsing
0.5877403846153846,0.8895177852036837,671.88,667.34,54,1514,0.023092,0.140023,2.366051,0.7283653846153846,0.2716346153846153,browsing
0.5871446229913473,0.891903636268565,685.55,670.83,54,1514,0.024698,0.191053,3.939608,0.7255871446229913,0.2744128553770086,browsing
0.4838709677419355,0.7409781424267675,167.75,299.82,54,1490,0.208778,0.541172,3.939608,0.935483870967742,0.064516129032258,browsing
0.51,0.75929003917844,168.46,293.12,54,1490,0.177241,0.465784,3.939608,0.94,0.06,browsing
0.5169491525423728,0.7371428571428571,146.82,247.85,54,1490,0.14111,0.273732,1.286088,0.9322033898305084,0.0677966101694915,browsing
0.5146198830409356,0.5151959997247517,254.95,388.02,54,1292,0.116405,0.254361,1.286088,0.6198830409356725,0.3801169590643274,browsing
0.5646341463414634,0.7634576332447175,512.86,543.54,54,1292,0.023627,0.108701,1.286088,0.148780487804878,0.8512195121951219,browsing
0.5901408450704225,0.8454949442905906,623.27,613.48,54,1514,0.013672,0.072883,1.182205,0.4316901408450704,0.5683098591549296,browsing
0.6062305295950156,0.868397754444714,672.79,634.34,54,1514,0.011798,0.069315,1.632841,0.4984423676012461,0.5015576323987538,browsing
0.611038961038961,0.8813216472401081,681.83,636.63,54,1514,0.012715,0.085783,1.894941,0.5155844155844156,0.4844155844155844,browsing
0.6350446428571429,0.931079462739459,752.08,678.62,54,1514,0.021878,0.131479,2.054603,0.8738839285714286,0.1261160714285714,browsing
0.594188376753507,0.8584797174001363,727.57,661.88,54,1514,0.019438,0.127361,2.054603,0.7314629258517034,0.2685370741482966,browsing
0.5788409703504043,0.8294473765198179,586.81,617.9,54,1494,0.013027,0.092963,2.054603,0.5566037735849056,0.4433962264150943,browsing
0.5897985426489498,0.8649577730916219,582.55,629.41,54,1514,0.007739,0.042864,1.075339,0.6223746249464209,0.377625375053579,browsing
0.5864722559740786,0.8628045280913407,557.5,622.95,54,1514,0.007967,0.032677,1.055411,0.6423653300931551,0.3576346699068449,browsing
0.5880469583778015,0.8870283371047221,464.56,589.37,54,1514,0.010564,0.020245,0.209048,0.6696905016008537,0.3303094983991462,browsing
0.5767761650114591,0.9065864506452428,411.54,576.92,54,1514,0.01526,0.024696,0.209756,0.825057295645531,0.174942704354469,browsing
0.5143884892086331,0.6867884660922785,98.74,145.79,54,1514,0.035808,0.02913,0.209756,0.9892086330935252,0.0107913669064748,browsing
0.509469696969697,0.6805880315233394,87.48,93.88,54,1514,0.037922,0.030315,0.223678,0.9924242424242424,0.0075757575757575,browsing
0.587467362924282,0.9341308033115888,410.46,597.36,54,1514,0.025869,0.030763,0.223678,0.9947780678851176,0.0052219321148825,browsing
0.5818399044205496,0.9235578441714792,400.92,586.87,54,1514,0.023902,0.030146,0.223678,0.992831541218638,0.007168458781362,browsing
0.581901489117984,0.921239365019593,389.37,578.27,54,1514,0.02277,0.029439,0.223678,0.993127147766323,0.0068728522336769,browsing
0.5824800910125142,0.9209161751208648,389.21,578.53,54,1514,0.02268,0.029075,0.202239,0.9931740614334472,0.0068259385665529,browsing
0.5198098256735341,0.7129478657134496,113.72,196.32,54,1514,0.031666,0.029712,0.213944,0.9904912836767036,0.0095087163232963,browsing
0.517921146953405,0.6958017077798861,90.67,118.01,54,1514,0.035804,0.029213,0.213944,0.992831541218638,0.007168458781362,browsing
0.544392523364486,0.7713144791694804,259.49,425.96,54,1514,0.02336,0.027507,0.213944,0.7757009345794392,0.2242990654205607,browsing
0.5161290322580645,0.7854640298972283,207.16,333.16,54,1514,0.150741,0.452923,3.327086,0.9516129032258064,0.0483870967741935,idle
0.5367647058823529,0.7283335553483415,275.99,426.82,54,1514,0.063556,0.272478,3.110256,0.9191176470588236,0.0808823529411764,idle
0.5425531914893617,0.7345575529363216,274.99,421.0,54,1514,0.070347,0.285782,3.110256,0.9219858156028368,0.0780141843971631,idle
0.5422222222222223,0.7211977094050277,274.75,415.19,54,1514,0.088217,0.300649,2.408033,0.9111111111111112,0.0888888888888888,idle
0.545045045045045,0.7281088331097911,282.11,419.28,54,1514,0.085811,0.282466,2.378806,0.90990990990991,0.09009009009009,idle
0.5402298850574713,0.8044579533941236,204.21,294.86,54,1490,0.226988,0.535674,3.231103,0.9310344827586208,0.0689655172413793,idle
